geneid,pval.1v2,pval.1v3,pval.2v3,padj.1v2,padj.1v3,padj.2v3,l2fc.1v2,l2fc.1v3,l2fc.2v3,grp1_median,grp2_median,grp3_median,external_gene_name,description,entrezgene_id
ENSG00000198952,1.87115E-23,4.1286E-05,3.47045E-12,2.48059E-19,0.002647545,7.66796E-09,0.6105762,0.221649497,-0.388926704,3831,2663,3158,SMG5,SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644],23381
ENSG00000179813,3.67687E-19,1.37979E-05,1.85577E-08,2.43721E-15,0.001244346,1.53762E-05,-3.347707275,-1.454551766,1.893155509,31,285,67,FAM216B,family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883],144809
ENSG00000072803,1.72368E-18,4.90213E-08,1.54672E-05,7.61693E-15,3.61042E-05,0.004100984,0.52123485,0.286541761,-0.234693089,3551,2601,2790,FBXW11,F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607],23291
ENSG00000109452,7.9293E-17,1.11485E-06,1.0412E-05,2.62797E-13,0.000246326,0.003268804,1.477553969,0.76366909,-0.713884879,2505,876,1379,INPP4B,inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075],8821
ENSG00000047849,1.54963E-16,6.38061E-07,2.51701E-05,3.07299E-13,0.000174624,0.005270519,1.163962031,0.621901304,-0.542060728,40264,17999,25978,MAP4,microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862],4134
ENSG00000133030,1.66743E-16,4.49184E-09,0.000829905,3.07299E-13,6.63168E-06,0.041366476,0.378678378,0.238482022,-0.140196356,9485,7589,7739,MPRIP,myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321],23164
ENSG00000159459,1.43902E-16,1.21077E-06,1.39333E-05,3.07299E-13,0.000251248,0.003848205,0.754514502,0.391779171,-0.362735331,2163,1321,1587,UBR1,ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808],197131
ENSG00000184208,2.08621E-16,1.58245E-08,0.000428024,3.07299E-13,1.61373E-05,0.029811808,0.694133323,0.42145819,-0.272675133,1128,766,809,C22orf46,chromosome 22 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:26294],
ENSG00000198692,1.94149E-16,0.94489994,6.91025E-19,3.07299E-13,0.978712282,9.16092E-15,11.25916614,0.080043311,-11.17912283,4103,1,3842,EIF1AY,eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252],9086
ENSG00000173517,8.94676E-16,6.61775E-08,0.000355596,1.18607E-12,4.38657E-05,0.026483946,0.628415076,0.373484099,-0.254930977,4116,2650.5,2950,PEAK1,pseudopodium enriched atypical kinase 1 [Source:HGNC Symbol;Acc:HGNC:29431],79834
ENSG00000071242,2.04647E-15,0.000104902,7.92917E-07,2.46637E-12,0.00484175,0.000420468,0.884887827,0.382542245,-0.502345582,4058,2574.5,3159,RPS6KA2,ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431],6196
ENSG00000112218,2.2994E-15,0.004284292,3.06618E-09,2.54026E-12,0.053410819,3.69531E-06,1.816478173,0.555123261,-1.261354912,89,29.5,63,GPR63,G protein-coupled receptor 63 [Source:HGNC Symbol;Acc:HGNC:13302],81491
ENSG00000064393,2.61778E-15,0.000220706,3.71442E-07,2.66953E-12,0.007972477,0.00024621,0.840306674,0.347459146,-0.492847528,9548,4962,6503,HIPK2,homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402],28996
ENSG00000205531,3.86141E-15,1.58677E-05,9.8591E-06,3.65648E-12,0.001339862,0.003187856,0.256403094,0.124583901,-0.131819193,5390,4709,4689,NAP1L4,nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640],4676
ENSG00000179295,4.46892E-15,3.7287E-06,4.04256E-05,3.70278E-12,0.00053013,0.006616326,0.726253783,0.379250904,-0.34700288,7551,4699,5774,PTPN11,protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644],5781
ENSG00000257923,4.4573E-15,3.07783E-09,0.004486141,3.70278E-12,6.63168E-06,0.103072404,0.553408667,0.370221516,-0.183187152,4796,3578,3639,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557],1523
ENSG00000152767,6.23611E-15,1.61616E-12,0.089173534,4.86307E-12,2.14254E-08,0.427575074,1.173035058,0.93859807,-0.234436988,817,380.5,398,FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]",10160
ENSG00000114374,7.95551E-15,0.871683928,1.81887E-16,5.43199E-12,0.949817495,8.03758E-13,12.13837123,0.203579533,-11.9347917,2012,0,1670,USP9Y,ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633],8287
ENSG00000137177,8.19491E-15,3.66131E-07,0.000350426,5.43199E-12,0.000126109,0.026483946,0.705400731,0.408951883,-0.296448848,6747,4153,4518,KIF13A,kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566],63971
ENSG00000143324,8.15944E-15,4.22329E-09,0.004957327,5.43199E-12,6.63168E-06,0.110452586,1.018513991,0.682066331,-0.33644766,4570,2468,2788,XPR1,xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827],9213
ENSG00000107438,9.85727E-15,1.06234E-05,2.54442E-05,5.83683E-12,0.001083338,0.005270519,0.712911961,0.358995573,-0.353916388,7687,4725.5,5600,PDLIM1,PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067],9124
ENSG00000131089,1.01265E-14,6.33879E-07,0.000266257,5.83683E-12,0.000174624,0.023722789,0.510706514,0.290599202,-0.220107312,2303,1681.5,1777,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9 [Source:HGNC Symbol;Acc:HGNC:14561],23229
ENSG00000134243,9.29406E-15,3.92812E-08,0.001571962,5.83683E-12,3.25469E-05,0.057887511,0.720128974,0.45197658,-0.268152394,6758,4349,4941,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186],6272
ENSG00000129824,1.32421E-14,0.94832407,9.72036E-17,7.11014E-12,0.979777198,6.44314E-13,10.6029146,0.075237051,-10.52767755,2535,0.5,2399,RPS4Y1,ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425],6192
ENSG00000138443,1.34083E-14,1.51161E-06,0.000161581,7.11014E-12,0.000294697,0.016735024,0.466172672,0.257463331,-0.208709341,3216,2387,2614,ABI2,abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011],10152
ENSG00000177570,2.03087E-14,0.000471588,5.93264E-07,1.03551E-11,0.013351894,0.000367715,1.374714133,0.553014691,-0.821699443,498,217,321,SAMD12,sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750],401474
ENSG00000125675,2.33595E-14,1.4465E-05,2.37952E-05,1.14695E-11,0.001274347,0.005211928,3.025566046,1.472904739,-1.552661307,98,15,38,GRIA3,glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573],2892
ENSG00000185761,2.78458E-14,1.2322E-06,0.000278598,1.3184E-11,0.000251248,0.023982937,0.889043495,0.499871431,-0.389172065,794,443,548,ADAMTSL5,ADAMTS like 5 [Source:HGNC Symbol;Acc:HGNC:27912],339366
ENSG00000009307,3.15521E-14,2.47199E-05,2.35669E-05,1.42902E-11,0.00180061,0.005211928,0.337169062,0.165852908,-0.171316153,34807,28599,29517,CSDE1,cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905],7812
ENSG00000083799,3.3416E-14,5.03468E-06,0.000102854,1.42902E-11,0.000648007,0.012284104,0.605906573,0.322213024,-0.283693549,2030,1354.5,1551,CYLD,CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584],1540
ENSG00000137269,3.26384E-14,4.00382E-06,0.000112133,1.42902E-11,0.000552903,0.012886048,1.240726693,0.655365239,-0.585361454,157,74,111,LRRC1,leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307],55227
ENSG00000147459,3.66393E-14,3.75218E-06,0.000138846,1.5179E-11,0.00053013,0.014844194,0.563014501,0.303516798,-0.259497703,1164,888,952,DOCK5,dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476],80005
ENSG00000138193,5.2824E-14,8.42015E-07,0.000518895,2.12209E-11,0.000202956,0.032448071,1.393428862,0.805969737,-0.587459125,1376,483.5,585,PLCE1,phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175],51196
ENSG00000018625,1.34971E-13,0.000337056,3.59367E-06,5.26266E-11,0.010741243,0.001328292,1.220861053,0.523595675,-0.697265378,14229,6507,9168,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800],477
ENSG00000143318,1.50902E-13,7.98477E-05,1.95192E-05,5.64085E-11,0.004087033,0.004704835,1.89309152,0.893538154,-0.999553366,1263,375.5,608,CASQ1,calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512],844
ENSG00000204843,1.5318E-13,0.000238247,5.96379E-06,5.64085E-11,0.008359494,0.002080579,0.65876447,0.290075995,-0.368688475,5214,3437.5,4119,DCTN1,dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711],1639
ENSG00000085831,2.06069E-13,0.006134685,6.97421E-08,7.3834E-11,0.065777437,5.43865E-05,1.461624362,0.480332021,-0.981292341,545,208,449,TTC39A,tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657],22996
